epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,221.844,0.91556,1.02448,0.83421,0.70744,0.69231,0.57561,0.34522,1.23403,1.27022,0.83394,0.0003566,0.0003566,0.0003566
85,224.453,0.91669,0.92775,0.83941,0.70744,0.69231,0.57561,0.34522,1.23403,1.27022,0.83394,0.0003368,0.0003368,0.0003368
86,227.102,0.99138,0.97983,0.85,0.70744,0.69231,0.57561,0.34522,1.23403,1.27022,0.83394,0.000317,0.000317,0.000317
87,229.689,1.09877,1.03555,0.81638,0.71919,0.68963,0.5936,0.34174,1.2551,1.27739,0.83456,0.0002972,0.0002972,0.0002972
88,232.269,0.88037,1.06173,0.82548,0.71919,0.68963,0.5936,0.34174,1.2551,1.27739,0.83456,0.0002774,0.0002774,0.0002774
89,234.936,0.88097,0.95538,0.83064,0.68292,0.65385,0.59638,0.33613,1.26868,1.28697,0.8345,0.0002576,0.0002576,0.0002576
90,237.545,0.99381,0.90978,0.84905,0.68292,0.65385,0.59638,0.33613,1.26868,1.28697,0.8345,0.0002378,0.0002378,0.0002378
91,240.158,1.02348,1.27464,0.82214,0.68292,0.65385,0.59638,0.33613,1.26868,1.28697,0.8345,0.000218,0.000218,0.000218
92,242.727,0.96879,1.41345,0.82122,0.60343,0.69231,0.56835,0.31349,1.28875,1.30368,0.83675,0.0001982,0.0001982,0.0001982
93,245.313,0.92149,1.04949,0.82912,0.60343,0.69231,0.56835,0.31349,1.28875,1.30368,0.83675,0.0001784,0.0001784,0.0001784
94,247.993,0.96396,1.05634,0.8387,0.60343,0.69231,0.56835,0.31349,1.28875,1.30368,0.83675,0.0001586,0.0001586,0.0001586
95,250.566,0.9463,1.12052,0.81444,0.68266,0.65385,0.6134,0.31228,1.28829,1.31129,0.83543,0.0001388,0.0001388,0.0001388
96,253.118,0.93004,1.06881,0.85392,0.68266,0.65385,0.6134,0.31228,1.28829,1.31129,0.83543,0.000119,0.000119,0.000119
97,255.708,0.92632,1.14028,0.83995,0.68241,0.65385,0.6122,0.31302,1.2689,1.30349,0.83437,9.92e-05,9.92e-05,9.92e-05
98,258.368,0.89929,1.09591,0.82181,0.68241,0.65385,0.6122,0.31302,1.2689,1.30349,0.83437,7.94e-05,7.94e-05,7.94e-05
99,261.091,0.85534,1.10764,0.7832,0.68241,0.65385,0.6122,0.31302,1.2689,1.30349,0.83437,5.96e-05,5.96e-05,5.96e-05
100,263.697,0.91075,0.99907,0.84297,0.68365,0.65385,0.60665,0.31476,1.25213,1.28959,0.83443,3.98e-05,3.98e-05,3.98e-05
